CoC Number,Street Address,City,State,Zip Code
FL-506,"2507 Callaway Rd., Suite 102A",Tallahassee,FL,32303
FL-507,4065-D L.B McLeod Rd.,Orlando,FL,32811
FL-508,6031 NW 1st Place,Gainesville,FL,32607
FL-509,2525 St. Lucie Avenue,Vero Beach,FL,32960
FL-510,660 Park Street,Jacksonville,FL,32204
FL-511,1020 N New Warrington Road,Pensacola,FL,32506
FL-512,400 Health Park Blvd.,St. Augustine,FL,32086
FL-513,6939 North Wickham Rd.,Melbourne,FL,32940
FL-514,2710 E. Silver Springs Blvd.,Ocala,FL,34470
FL-515,954 Magnolia Avenue,Panama City,FL,32401
FL-517,752 U.S. Highway 27 North,Avon Park,FL,33825
FL-518,871 SW State Road 47,Lake City,FL,32025
FL-519,5652 Pine Street,New Port Richey,FL,34652
FL-520,104 E Dampier St.,Inverness,FL,34450
FL-600,"111 NW 1st Street, 27th floor",Miami,FL,33128
FL-601,"115 S. Andrews Avenue, A370",Fort Lauderdale,FL,33301
FL-602,"408 Tamiami Trail, Unit 121",Punta Gorda,FL,33950
FL-603,2440 Thompson Street,Fort Myers,FL,33901
FL-604,P.O. Box 2410,Key West,FL,33045
FL-606,"9015 Strada Stell Ct., #205",Naples,FL,34109
GA-500,"818 Pollard Blvd., Third Floor",Atlanta,GA,30315
GA-502,"137 Peachtree Street, SW",Atlanta,GA,30303
GA-503,375 Satula Avenue,Athens,GA,30601
GA-504,"925 Laney Walker Boulevard, 3rd Floor",Augusta,GA,30901
GA-505,1100 First Ave,Columbus,GA,31901
GA-506,"995 Roswell Street, Suite 100",Marietta,GA,30060
GA-507,761 Wheaton Street,Savannah,GA,31401
GA-508,"750 Commerce Drive, Suite 401",Decatur,GA,30030
GU-500,117 Bien Venida Avenue,Sinajana,GU,96910
HI-500,P.O. Box 2022,Pearl City,HI,96782
HI-501,"200 N. Vineyard Blvd., Suite A-210",Honolulu,HI,96817
IA-500,405 - 6th Street,Sioux City,IA,51102
IA-501,"1111 9th Street, Suite 380",Des Moines,IA,50314
IA-502,602 Robert D. Ray Drive,Des Moines,IA,50309
ID-500,150 North Capitol Blvd.,Boise,ID,83702
ID-501,"P.O. Box 7899, 565 W. Myrtle St.",Boise,ID,83707
IL-500,4100 Veterans Parkway,McHenry,IL,60050
IL-501,612 Church Street,Rockford,IL,61103
IL-502,18 N. County Street,Waukegan,IL,60085
IL-503,1776 E. Washington St.,Urbana,IL,61802
IL-504,130 Hillsboro Ave.,Edwardsville,IL,62025
IL-506,2455 Glenwood Avenue,Joliet,IL,60435
IL-507,509 W. High Street,Peoria,IL,61606
IL-508,"19 Public Square, Suite 200",Belleville,IL,62220
IL-510,"651 W. Washington, Suite 504",Chicago,IL,60661
IL-511,"4415 Harrison Street, Suite 228",Hillside,IL,60162
IL-512,201 E. Grove St.,Bloomington,IL,61701
IL-513,1023 E. Washington,Springfield,IL,62703
IL-514,421 N. County Farm Road,Wheaton,IL,60187
IL-515,400 W. Pleasant,Greenup,IL,62428
IL-516,302 S. Union St.,Decatur,IL,62522
IL-517,719 South Batavia Avenue,Geneva,IL,60134
IL-518,418 19th Street,Rock Island,IL,61201
IL-519,"639 York St., Room 202",Quincy,IL,62301
IL-520,1114 South West St,Olney,IL,62450
IN-502,"30 S. Meridian, Suite 900",Indianapolis,IN,46204
IN-503,"200 East Washington Street, Suite 2042",Indianapolis,IN,46204
KS-502,245 N. Water,Wichita,KS,67202
KS-503,"620 SE Madison, 1st Floor, Unit 8",Topeka,KS,66607
KS-505,"9001 W. 110th St., Suite 100",Overland Park,KS,66210
KS-507,2001 Haskell Ave,Lawrence,KS,66046
KY-500,1231 Louisville Rd.,Frankfort,KY,40601
KY-501,1300 S. 4th St. Suite 250,Louisville,KY,40208
KY-502,200 E. Main Street,Lexington,KY,40507
LA-500,P.O. 3936,Lafayette,LA,70502
LA-502,2350 Levy Street,Shreveport,LA,71103
LA-503,"2475 Canal Street, Suite 300",New Orleans,LA,70119
LA-505,1515 Jackson Street,Monroe,LA,71202
LA-506,SLU Box 10509,Hammond,LA,70402
LA-509,2415 Quail Drive,Baton Rouge,LA,70808
MA-500,"26 Court Street, 8th Floor",Boston,MA,2108
MA-502,10 Church Street,Lynn,MA,1902
MA-503,3195 Main St,Barnstable,MA,2630
MA-504,1600 E. Columbus Ave.,Springfield,MA,1103
MA-505,608 Pleasant St.,New Bedford,MA,2740
MA-506,"6 Institute Road, P.O. Box 3",Worcester,MA,1609
MA-507,393 Main Street,Greenfield,MA,1301
MA-509,51 Inman Street,Cambridge,MA,2139
MA-511,34 Coddington Street,Quincy,MA,2169
MA-515,"One Government Center, Suite 633",Fall River,MA,2722
MA-516,100 Cambridge Street,Boston,MA,2114
MA-519,1 Washington Street,Taunton,MA,2780
MD-501,7 E Redwood St 5th Floor,Baltimore,MD,21202
MD-503,44 Calvert Street,Annapolis,MD,21401
MD-504,9830 Patuxent Woods Drive,Columbia,MD,21046
MD-505,"105 West Chesapeake Ave, Suite 201",Towson,MD,21204
MD-506,225 North Center Street,Westminster,MD,21157
MD-509,100 South Market Street,Frederick,MD,21701
MD-511,"28578 Mary's Court, Suite 1",Easton,MD,21601
MD-513,8928 Sign Post Rd,Westover,MD,21871
MD-514,7800 Harkins Road,Lanham,MD,20706
MD-600,805 Brightseat Road,Landover,MD,20785
MD-601,401 Hungerford,Rockville,MD,20850
ME-500,26 Edison Drive,Augusta,ME,4330
MI-500,"15851 Old US-27, Building 30, Suite 315",Lansing,MI,48906
MI-501,"3701 Miracles Blvd, Suite 101",Detroit,MI,48201
MI-502,"2121 Biddle, Suite 102",Wyandotte,MI,48192
MI-503,"196 N Rose St, Rm 28",Mount Clemens,MI,48043
MI-504,1 N. Saginaw,Pontiac,MI,48342
MI-505,"503 S. Saginaw St., Suite 804",Flint,MI,48502
MI-506,118 Commerce Ave. SW,Grand Rapids,MI,49503
MI-507,709 S Westnedge Ave,Kalamazoo,MI,49007
MI-508,"124 W. Michigan Avenue, 4th Floor",Lansing,MI,48933
MI-509,"415 W. Michigan Ave., Suite 2200",Ypsilanti,MI,48197
MI-510,"100 S. Jefferson Avenue, 3rd Floor",Saginaw,MI,48607
MI-511,"307 E. Church Street, P.O. Box 692",Adrian,MI,49221
MI-512,3963 Three Mile Road,Traverse City,MI,49686
MI-514,140 W. Michigan Ave,Battle Creek,MI,49017
MI-515,1140 S. Telegraph Rd.,Monroe,MI,48161
MI-516,565 W. Western Avenue,Muskegon,MI,49440
MI-517,1214 Greenwood Ave.,Jackson,MI,49203
MI-518,2300 East Grand River Ave Suite 107,Howell,MI,48843
MI-519,115 Clover Street,Holland,MI,49423
MI-523,319 S. Cochran,Charlotte,MI,48813
MN-500,"300 South Sixth Street, Government Center A2300",Minneapolis,MN,55487
MN-501,"121 7th Place East, Suite 4200",St. Paul,MN,55101
MN-502,P.O. Box 144,Zumbrota,MN,55992
MN-503,"2446 University Avenue West, Suite 150",St. Paul,MN,55114
MN-504,"2446 University Avenue S., Suite 150",St. Paul,MN,55114
MN-505,24707 County Road 75,St. Augusta,MN,56301
MN-506,201 3rd Street NW,Bemidji,MN,56601
MN-508,"116 Center Avenue East, P.O. Box 99",Dilworth,MN,56529
MN-509,320 West 2nd Street,Duluth,MN,55803
MN-511,"2401 Broadway Avenue, Suite 4",Slayton,MN,56172
MO-500,500 Northwest Plaza Ste. 800,St. Louis,MO,63074
MO-501,"1520 Market, Rm. 4062",St. Louis,MO,63103
MO-503,P.O. Box 219,Cottleville,MO,63338
MO-600,840 Boonville,Springfield,MO,65802
MO-602,302 Joplin Avenue,Joplin,MO,64801
MO-603,1100 Frederick Avenue,St. Joseph,MO,64501
MO-606,PO Box 1233,Sedalia,MO,65302
MP-500,Micro Beach Rd.,Saipan,MP,96950
MS-500,1217 North West Street,Jackson,MS,39202
MS-501,"201 West Capitol St., Suite 800",Jackson,MS,39202
MS-503,"11975 Seaway Road, A-220",Gulfport,MS,39503
MT-500,1001 3rd Street NW #B211,Sidney,MT,59720
NC-500,"100 East First Street, Suite 423",Winston-Salem,NC,27101
NC-501,PO Box 7148,Asheville,NC,28802
NC-502,101 City Hall Plaza,Durham,NC,27701
NC-503,"5623 Duraleigh Road, Suite 151",Raleigh,NC,27612
NC-504,1500 Yanceyville St.,Greensboro,NC,27405
NC-505,"3205 Freedom Drive, Suite 2000",Charlotte,NC,28208
NC-506,1480 Harbour Drive,Wilmington,NC,28401
NC-507,PO Box 12044,Raleigh,NC,27605
NC-509,200 E. 2nd Avenue,Gastonia,NC,28052
NC-511,707 Executive Place,Fayetteville,NC,28305
NC-513,300 W. Tryon Street,Hillsborough,NC,27278
NC-516,338 Brook Hollow Road,Boone,NC,28607
ND-500,P.O. Box 1535,Bismarck,ND,58502
NE-500,"151 Whittier Research Center, 2200 Vine Street",Lincoln,NE,68583
NE-501,"6001 Dodge Street, CEC 117",Omaha,NE,68182
NE-502,555 So 10th Street,Lincoln,NE,68508
NH-500,129 Pleasant Street,Concord,NH,3301
NH-501,122 Market Street,Manchester,NH,3101
NH-502,77 Northeastern Boulevard,Nashua,NH,3062
NJ-500,1333 Atlanitic Ave.,Atlantic City,NJ,8401
NJ-501,"One Bergen County Plaza, 4th Floor",Hackensack,NJ,7601
NJ-502,"795 Woodlane Road, P.O. Box 6000",Mount Holly,NJ,8060
NJ-503,"2500 McClellan Avenue, Suite 110",Pennsauken,NJ,8109
NJ-504,50 South Clinton Street,East Orange,NJ,7018
NJ-506,"830 Bergen Avenue, Suite 5A",Jersey City,NJ,7306
NJ-507,"75 Bayard Street, 2nd Floor",New Brunswick,NJ,8901
NJ-508,3000 Kozloski Road,Freehold,NJ,7728
NJ-509,P.O. Box 900,Morristown,NJ,7963
NJ-510,"29 Alden Street, Suite 1B",Cranford,NJ,7016
NJ-511,401 Grand Street,Paterson,NJ,7505
NJ-512,"98 Market Street, Second Floor",Salem,NJ,8079
NJ-513,"27 Warren Street, P.O. Box 3000",Somerville,NJ,8876
NJ-514,319 East State Street,Trenton,NJ,8608
NJ-515,"Union County Administration Building 2nd Fl., 10 Elizabethtown Plaza",Elizabeth,NJ,7207
NJ-516,19 Church Street,Newton,NJ,7860
NM-500,"2501 San Pedro Dr NE, Suite 111",Albuquerque,NM,87110
NV-500,1600 Pinto Lane,Las Vegas,NV,89106
NV-501,170 S. Virginia St. Ste. 201,Reno,NV,89501
NV-502,"c/o Rural Clinics, 727 Fairview Drive, Suite A",Carson City,NV,89706
NY-500,560 West Main Street,Rochester,NY,14608
NY-501,215 East Church Street,Elmira,NY,14901
NY-505,980 James Street,Syracuse,NY,13220
NY-508,960 Main Street,Buffalo,NY,14202
NY-510,"171 E. State St., #133",Ithaca,NY,14850
NY-511,5 Merrick st,Binghamton,NY,13904
NY-513,28 East Main Street,Clifton Springs,NY,14432
NY-514,17 West Courtney Street,Dunkirk,NY,14048
NY-518,201 Lafayette Street,Utica,NY,13502
NY-525,40 North Pearl Street,Albany,NY,12243
NY-600,"150 Greenwich Street, 31st Floor",New York,NY,10007
NY-601,27 High Street,Poughkeepsie,NY,12601
NY-602,38 Seward Avenue,Middletown,NY,10940
NY-603,"600 Albany Avenue, Suite 2",Amityville,NY,11701
NY-604,"85 Court Street, 5th Floor",White Plains,NY,10601
NY-608,289 Fair Street,Kingston,NY,12401
OH-500,"2368 Victory Parkway, Suite 600",Cincinnati,OH,45206
OH-501,1220 Madison Ave.,Toledo,OH,43604
OH-502,"310 W. Lakeside Ave., Ste. 195",Cleveland,OH,44113
OH-503,"355 E. Campus View Blvd., Suite 250",Columbus,OH,43235
OH-504,"21 West Boardman Street, Suite 200",Youngstown,OH,44503
OH-505,"117 S. Main Street, Suite 5100",Dayton,OH,45422
OH-506,"161 S. High St., Suite 201",Akron,OH,44308
OH-507,"175 S. Third St., Ste 580",Columbus,OH,43215
OH-508,408 9th St SW,Canton,OH,44707
OK-500,114 S Independence,Enid,OK,73701
OK-501,"2915 E 5th ST, Suite 203",Tulsa,,74104
OK-502,"420 W Main, Suite 920",Oklahoma City,OK,73102
OK-503,"1024 22nd St., Ste. 100",Woodward,OK,73801
OK-504,1251 Triad Village Dr,Norman,OK,73071
OK-506,714 SW 45th Street,Lawton,OK,73507
OK-507,P.O. Box 727,Stigler,OK,74462
OR-500,151 W. 7th Ave. Room 560,Eugene,OR,97401
OR-501,"721 SW Oak Street, Suite 100",Portland,OR,97205
OR-502,3630 Aviation Way,Medford,OR,97504
OR-503,2303 SW First Street,Redmond,OR,97756
OR-505,2475 Center St NE,Salem,OR,97301
OR-506,"111 NE Lincoln Street, Suite 200-L, MS 63",Hillsboro,OR,97124
OR-507,2051 Kaen Road #245,Oregon City,OR,97045
PA-500,"Municipal Services Building, 1401 JFK Blvd., Suite 1030",Philadelphia,PA,19102
PA-501,"10 North 2nd Street, Suite 405",Harrisburg,PA,17101
PA-502,"20 S. 69th Street, 3rd Floor",Upper Darby,PA,19082
PA-503,165 Amber Lane,Wilkes-Barre,PA,18703
PA-504,"Human Services Center, 5th Floor, 1430 DeKalb Street",Norristown,PA,19404
PA-505,"601 Westtown Rd., Suite 365, P.O. Box 2747",West Chester,PA,19380
PA-506,831 Walnut St.,Reading,PA,19601
PA-508,631 Cedar Ave.,Scranton,PA,18505
PA-509,400 North Street,Harrisburg,PA,17120
PA-510,"28 Penn Square, Suite 100",Lancaster,PA,17603
PA-511,1260 Almshouse Road,Doylestown,PA,18901
PA-512,28 East Market Street,York,PA,17401
PA-600,"Human Services Building Second Floor, One Smithfield Street",Pittsburgh,PA,15222
PA-603,1013 Eighth Avenue,Beaver Falls,PA,15010
PA-605,154 W. 9th St.,Erie,PA,16501
PR-502,306 Barbosa Avenue,San Juan,PR,910
PR-503,44 Calle Isabel,Ponce,PR,730
RI-500,44 Washington Street,Providence,RI,2903
SC-500,P.O. Box 20038,Charleston,SC,29413
SC-501,"135 Edinburgh Court, Suite 201",Greenville,SC,29607
SC-502,1800 Main Street,Columbia,SC,29201
SC-503,1206 N. Kings Hwy,Myrtle Beach,SC,29577
SD-500,3060 East Elizabeth,Pierre,SD,57501
TN-500,600 N Holtzclaw Ave.,Chattanooga,TN,37404
TN-501,"44 North Second Street, Suite 302",Memphis,TN,38103
TN-502,"224 Henson Hall, 1618 Cumberland Av.",Knoxville,TN,37996
TN-503,"129 West Fowlkes, Suite 124",Franklin,TN,37064
TN-504,800 2nd Ave North,Nashville,TN,37201
TN-506,67 Irwin Ave,Crossville,TN,38555
TN-507,620 Skyline Drive,Jackson,TN,38301
TN-509,409 W. Walnut Street,Johnson City,TN,37604
TN-510,PO Box 332835,Murfreesboro,TN,37133
TN-512,"2507 Mineral Springs Ave, Suite C",Knoxville,TN,37917
TX-500,"4100 East Piedras, Fannin Building, Suite 105",San Antonio,TX,78228
TX-503,"210 Barton Springs Rd., Ste. 400",Austin,TX,78704
TX-601,300 S. Beach Street,Fort Worth,TX,76105
TX-603,"6044 Gateway East, Suite 211",El Paso,TX,79905
TX-604,PO Box 23025,Waco,TX,76702
TX-607,"3000 South IH-35, Suite 100",Austin,TX,78704
TX-611,808 S. Buchanan,Amarillo,TX,79101
TX-624,4309 Jacksboro Hwy #200,Wichita Falls,TX,76302
TX-700,"2000 Crawford, Suite 700",Houston,TX,77002
TX-701,P.O. Box 3490,Bryan,TX,77805
UT-500,"1385 South State Street, 4th Floor",Salt Lake City,UT,84115
UT-503,140 E 300 S,Salt Lake City,UT,84111
UT-504,"148 North 100 West, P.O. Box 135",Provo,UT,84603
VA-500,"9211 Forest Hill Ave., Ste. 200",Richmond,VA,23235
VA-501,"5365 Robin Hood Road, Suite 700",Norfolk,VA,23513
VA-502,339 Salem Avenue,Roanoke,VA,24016
VA-503,104 N. Witchduck Rd.,Virginia Beach,VA,23462
VA-504,P.O. Box 34,Charlottesville,VA,22902
VA-505,1320 Lasalle Ave,Hampton,VA,23669
VA-507,1701 High Street,Portsmouth,VA,23704
VA-508,PO Box 3196,Lynchburg,VA,24503
VA-513,143 Reservoir Street,Harrisonburg,VA,22803
VA-514,406 Princess Anne St.,Fredericksburg,VA,22401
VA-521,"600 East Main Street, Suite 300",Richmond,VA,23219
VA-600,"2100 Washington Blvd, 3rd Floor",Arlington,VA,22204
VA-601,"12011 Government Center Pkwy, Suite #942",Fairfax,VA,22035
VA-602,"102 Heritage Way NE Suite 103, P.O. Box 7400",Leesburg,VA,20177
VA-603,2525 Mt. Vernon Ave.,Alexandria,VA,22301
VA-604,14716 Potomac Mills RD,Woodbridge,VA,22192
VI-500,"3202 Demarara Plaza, Suite 200",St. Thomas,VI,802
VT-500,147 State Street,Montpelier,VT,5602
VT-501,149 Church Street Rm 32,Burlington,VT,5401
WA-500,"400 Yesler Way, Suite 600",Seattle,WA,98104
WA-501,1011 Plum St SE,Olympia,WA,98504
WA-502,808 W. Spokane Falls Blvd,Spokane,WA,99201
WA-503,1305 Tacoma Ave South,Tacoma,WA,98402
WA-504,"3000 Rockefeller Ave., M/S 305",Everett,WA,98201
WA-508,2500 Main St,Vancouver,WA,98660
WI-500,P.O. Box 1407,Madison,WI,53701
WI-501,"200 E. Wells Street, Room 606",Milwaukee,WI,53202
WI-502,"2000 DeKoven Avenue, Unit 1",Racine,WI,53403
WI-503,"215 Martin Luther King Jr. Blvd, Suite 300",Madison,WI,53703
WV-500,84 Fifteenth Street,Wheeling,WV,26003
WV-501,627 Fourth Avenue,Huntington,WV,25701
WV-503,1 United Way Square,Charleston,WV,25301
WV-508,"527 East Main Street, Suite 104",Bridgeport,WV,26330
WY-500,"3817 Beech Street, Suite 200",Laramie,WY,82070
